Colony,H,S,B
AH1,59.176,111.027,65.102
AH2,39.726,106.998,67.711
AH5,115.973,82.434,129.056
AH9,70.634,75.665,127.317
AH10,127.531,77.153,159.824
AH13,117.779,77.937,144.829
AH14,97.919,78.944,147.329
AH15,163.513,89.23,151.52
AH17,158.448,61.151,184.41
AH18,152.609,68.74,150.275
AH19,138.641,53.812,148.149
AH21,114.507,71.102,137.303
AH22,157.333,96.619,128.059
AH23,130.065,87.106,98.397
AH24,71.992,76.612,126.838
AH25,34.452,119.195,122.637
AH27,21.308,157.483,132.719
AH29,140.68,36.822,225.06
AH55,134.878,51.72,146.942
AH73,21.091,143.093,144.875
AH85,26.004,155.162,119.617
AH88,27.973,139.1,123.673
AH91,64.137,77.617,165.33
AH92,95.539,61.356,142.735
AH93,139.741,62.418,207.35
AH94,65.818,73.04,160.24
AH95,46.81,86.969,166.966
AH96,74.852,81.516,145.614
AH97,126.636,67.479,150.239
AH107,134.688,66.298,133.325
AH109,63.82,67.553,152.11
AH112,67.921,96.168,148.81
AH113,131.281,53.475,138.733
AH114,159.831,56.603,166.963
AH115,136.335,60.302,149.66
AH116,63.483,71.85,175.924
AH117,126.122,53.682,169.053
AH118,90.647,53.445,140.638
AH120,57.667,88.819,126.804
AH121,70.327,89.546,132.734
AH130,95.437,60.228,194.597
AH171,66.974,89.513,75.827
AH172,58.142,76.097,90.458
AH173,122.716,71.397,132.814
AH174,59.674,114.831,107.266
AH186,82.999,81.798,105.645