tag,pool,filename,species,cryp,ladner,lat,long,propd,binbl,colldate,binsym,mitotype
AH228,400,17,2,HA,NA,-14.18013,-169.65523,0.0693880080446758,1,2015,C,1
AH227,400,18,2,HA,NA,-14.18013,-169.65523,0.0664252334575052,1,2015,C,1
AH252,400,34,2,HA,NA,-14.17961,-169.65508,0.072314746174576,0,2015,C,1
AH284,400,54,2,HA,NA,-14.18031,-169.65455,0.0947307818952769,1,2015,C,1
AH15,400,82,2,HA,NA,-14.179504,-169.655,0.0890204834653186,1,2015,C,1
AH117,400,85,2,HA,NA,-14.1795046,-169.655,0.071609006640764,1,2015,C,1
AH19,400,86,2,HA,HA,-14.1797,-169.65487,0.0670392916358231,1,2015,C,1
AH23,400,plate2_1,2,HA,HA,-14.17996,-169.65471,0.562468719299973,0,2015,D,1
AH92,400,plate2_4,2,HA,NA,-14.17974,-169.65457,0.0682196748147202,1,2015,C,1
AH93,400,plate2_6,2,HA,NA,-14.1797,-169.65466,0.408510989997975,1,2015,C,1
AH97,400,plate2_8,2,HA,NA,-14.17965,-169.65475,0.0785391449792806,1,2015,C,1
AH96,400,plate2_9,2,HA,NA,-14.17964,-169.65465,0.0723528213880608,1,2015,C,1
AH342,400,plate2_11,2,HA,NA,-14.17988,-169.65466,0.0801726171258392,1,2015,C,1
AH225,400,15,3,HC,NA,-14.17992,-169.65526,0.0677248052896825,1,2015,C,1
AH251,400,33,3,HC,NA,-14.1796,-169.65515,0.175807336893651,1,2015,C,1
AH256,400,36,3,HC,NA,-14.17965,-169.65504,0.0649128037855048,0,2015,C,1
AH257,400,37,3,HC,NA,-14.17965,-169.65504,0.0677723866796957,1,2015,C,1
AH270,400,42,3,HC,NA,-14.18048,-169.65522,0.076683800421344,0,2015,C,1
AH275,400,45,3,HC,NA,-14.18038,-169.65542,0.0701556778812053,0,2015,C,1
AH276,400,46,3,HC,NA,-14.18029,-169.65434,0.0777368389301907,0,2015,C,1
AH296,400,64,3,HC,NA,-14.18,-169.65428,0.0778734499825034,1,2015,C,1
AH309,400,77,3,HC,NA,-14.17992,-169.65413,0.129060530816953,0,2015,C,1
AH13,400,80,3,HC,HC,-14.179502,-169.655,0.0894892240644818,1,2015,C,1
AH14,400,81,3,HC,HC,-14.179504,-169.655,0.107736240311509,1,2015,C,1
AH18,400,83,3,HC,HC,-14.1795042,-169.655,0.0719358344935045,1,2015,C,1
AH114,400,87,3,HC,NA,-14.179702,-169.6548,0.0828343909226094,1,2015,C,1
AH21,400,89,3,HC,HC,-14.1797,-169.6548,0.0906508862856767,1,2015,C,1
AH115,400,90,3,HC,NA,-14.179706,-169.6548,0.118371653681794,1,2015,C,1
AH113,400,91,3,HC,NA,-14.179702,-169.6548,0.106217022385803,1,2015,C,1
AH5,400,92,3,HC,HA,-14.1799,-169.6548,0.0778727007748307,0,2015,C,1
AH112,400,93,3,HC,NA,-14.18318,-169.66031,0.0849030075908711,0,2015,C,1
AH24,400,96,3,HC,NA,-14.18,-169.6547,0.0587256842835968,1,2015,C,1
AH25,400,plate2_2,3,HC,HC,-14.179708,-169.6548,0.0748301960542627,0,2015,C,1
AH91,400,plate2_3,3,HC,NA,-14.17977,-169.65462,0.0648245882250429,1,2015,C,1
AH95,400,plate2_7,3,HC,NA,-14.17972,-169.65469,0.0759544319965023,1,2015,C,1
AH9,300,plate2_15,3,HC,HC,-14.18206,-169.65849,0.914652823119983,0,2015,D,1
AH219,400,9,1,HD,NA,-14.17991,-169.65526,0.838525773534856,0,2015,D,1
AH220,400,10,1,HD,NA,-14.17994,-169.65526,0.105759111001767,1,2015,C,1
AH221,400,11,1,HD,NA,-14.17999,-169.65524,0.0777569502611128,1,2015,C,1
AH222,400,12,1,HD,NA,-14.17999,-169.65524,0.0763513110181512,0,2015,C,1
AH226,400,16,1,HD,NA,-14.18005,-169.65526,0.0905160148976616,1,2015,C,1
AH229,400,19,1,HD,NA,-14.18009,-169.65515,0.0869347011412187,0,2015,C,1
AH233,400,23,1,HD,NA,-14.1799,-169.6553,0.0695772861148451,0,2015,C,1
AH234,400,24,1,HD,NA,-14.1798,-169.65515,0.0829332280570842,1,2015,C,1
AH247,400,30,1,HD,NA,-14.17955,-169.65514,0.0627034922872388,1,2015,C,1
AH245,400,32,1,HD,NA,-14.17955,-169.65514,0.0804872084362662,1,2015,C,1
AH255,400,35,1,HD,NA,-14.17955,-169.65504,0.0713424077509723,0,2015,C,1
AH297,400,65,1,HD,NA,-14.18004,-169.65428,0.0869363809262716,1,2015,C,1
AH299,400,67,1,HD,NA,-14.17982,-169.65424,0.129922892594153,1,2015,C,1
AH302,400,70,1,HD,NA,-14.17974,-169.6541,0.889991879878704,0,2015,D,1
AH305,400,73,1,HD,NA,-14.17991,-169.65408,0.160750826028929,1,2015,C,1
AH10,400,79,1,HD,HD,-14.1795,-169.655,0.0811196809389825,1,2015,C,1
AH118,400,84,1,HD,NA,-14.1795044,-169.655,0.0626295142829677,1,2015,C,1
AH116,400,88,1,HD,NA,-14.179704,-169.6548,0.0837827190353003,0,2015,C,1
AH109,400,94,1,HD,NA,-14.183182,-169.66031,0.107679626921094,1,2015,C,1
AH55,400,95,1,HD,HD,-14.17993,-169.65477,0.474376548859246,1,2015,C,1
AH94,400,plate2_5,1,HD,NA,-14.17978,-169.65462,0.0621390514631656,1,2015,C,1
AH341,400,plate2_10,1,HD,NA,-14.17992,-169.65471,0.0613241867840992,0,2015,C,1
AH343,400,plate2_12,1,HD,NA,-14.18003,-169.65463,0.0773399137905402,1,2015,C,1
AH344,300,plate2_13,1,HD,NA,-14.18294,-169.66,0.753612271286142,1,2015,D,1
AH131,300,plate2_14,1,HD,NA,-14.182942,-169.66,0.804457632900089,0,2015,D,1
AH372,300,plate2_17,1,HD,NA,-14.18341,-169.66055,0.0644897740767979,1,2015,C,1
AH206,400,1,4,HE,NA,-14.18003,-169.65571,0.783443163529925,0,2015,D,2
AH209,400,2,4,HE,NA,-14.18019,-169.6554,0.896996750698397,0,2015,D,2
AH213,400,3,4,HE,NA,-14.18014,-169.6555,0.0791073040493549,1,2015,C,1
AH214,400,4,4,HE,NA,-14.18041,-169.65556,0.896984037294222,0,2015,D,1
AH223,400,13,4,HE,NA,-14.18006,-169.6552,0.89512424611244,0,2015,D,2
AH231,400,21,4,HE,NA,-14.17989,-169.65515,0.0789539936138269,0,2015,C,2
AH235,400,25,4,HE,NA,-14.1798,-169.65515,0.903261126182402,0,2015,D,2
AH239,400,27,4,HE,NA,-14.17986,-169.65515,0.0943261779126463,0,2015,C,2
AH246,400,31,4,HE,NA,-14.17955,-169.65514,0.902421044902447,0,2015,D,2
AH261,400,38,4,HE,NA,-14.17925,-169.65505,0.9011489555936,0,2015,D,2
AH264,400,40,4,HE,NA,-14.1794,-169.65497,0.774752902153159,0,2015,D,2
AH266,400,41,4,HE,NA,-14.18029,-169.65469,0.870324769165476,0,2015,D,2
AH271,400,43,4,HE,NA,-14.1803,-169.65573,0.0860673243475309,1,2015,C,2
AH280,400,50,4,HE,NA,-14.18022,-169.65459,0.0662809559849403,0,2015,C,2
AH294,400,62,4,HE,NA,-14.18005,-169.65417,0.908073004491205,0,2015,D,2
AH371,300,plate2_16,4,HE,NA,-14.1832,-169.66,0.896703798685309,0,2015,D,1
AH6,300,plate2_18,4,HE,HE,-14.18292,-169.65982,0.901037009174289,0,2015,D,2
AH7,300,plate2_19,4,HE,HE,-14.1831,-169.65942,0.862217474007554,0,2015,D,2
AH27,300,plate2_20,4,HE,HE,-14.18308,-169.65956,0.909749351989584,0,2015,D,2
AH61,400,plate2_21,4,HE,HE,-14.18002,-169.65503,0.873327993971362,0,2015,D,1
AH64,400,plate2_22,4,HE,HE,-14.18035,-169.65457,0.634809421606967,0,2015,D,1
AH69,400,plate2_23,4,HE,HE,-14.17996,-169.654485,0.845391529259871,0,2015,D,2
AH70,400,plate2_24,4,HE,HE,-14.18028,-169.65433,0.865405559122414,0,2015,D,1
AH73,300,plate2_25,4,HE,NA,-14.182922,-169.65982,0.879980982714515,0,2015,D,2
AH88,300,plate2_26,4,HE,NA,-14.18306,-169.66017,0.879321818165805,0,2015,D,2
AH89,400,plate2_27,4,HE,NA,-14.17856,-169.65279,0.86892572633074,0,2015,D,2
AH102,400,plate2_28,4,HE,NA,-14.1789,-169.65245,0.80939780110781,0,2015,D,2
AH108,400,plate2_29,4,HE,NA,-14.17995,-169.65472,0.684037685481551,0,2015,D,1
AH121,400,plate2_30,4,HE,NA,-14.18005,-169.65512,0.103708965700328,1,2015,C,2
AH175,400,plate2_31,4,HE,NA,-14.17995,-169.6553,0.0943217547623421,0,2015,C,2
AH176,400,plate2_32,4,HE,NA,-14.17984,-169.65529,0.905129305498613,0,2015,D,2
AH150,300,plate2_33,4,HE,NA,-14.1835,-169.66023,0.829232195469799,0,2015,D,1
AH152,300,plate2_34,4,HE,NA,-14.18347,-169.66035,0.749577571878302,0,2015,D,1
AH170,400,plate2_35,4,HE,NA,-14.18293,-169.65987,0.879590525636292,0,2015,D,2
AH171,400,plate2_36,4,HE,NA,-14.18078,-169.65605,0.888523395335294,0,2015,D,2
AH174,400,plate2_37,4,HE,NA,-14.18078,-169.65605,0.867497652041555,0,2015,D,2
AH172,400,plate2_38,4,HE,NA,-14.1805,-169.65594,0.891776951497118,0,2015,D,1
AH173,400,plate2_39,4,HE,NA,-14.180502,-169.65594,0.181397272524766,1,2015,C,2
AH180,400,plate2_40,4,HE,NA,-14.17983,-169.65495,0.859891735835538,0,2015,D,2
AH181,400,plate2_41,4,HE,NA,-14.17985,-169.655,0.0584814514100242,0,2015,C,2
AH182,400,plate2_42,4,HE,NA,-14.1799,-169.65463,0.0573257624193156,0,2015,C,2
AH183,400,plate2_43,4,HE,NA,-14.17975,-169.65463,0.0927265969137429,0,2015,C,2
AH184,400,plate2_44,4,HE,NA,-14.18039,-169.65469,0.91991136671074,0,2015,D,2
AH185,400,plate2_45,4,HE,NA,-14.18024,-169.65451,0.909735456384344,0,2015,D,2
AH186,400,plate2_46,4,HE,NA,-14.18083,-169.65614,0.912210273689502,0,2015,D,2
AH1,300,plate2_47,4,HE,HE,-14.183362,-169.66109,0.842303232028072,0,2011,D,2
AH2,300,plate2_48,4,HE,HE,-14.1835,-169.66096,0.846352733484958,0,2011,D,2
AH28,400,plate2_49,4,HE,NA,-14.18009,-169.65492,0.123151109337774,1,2014,C,2
AH65,400,plate2_50,4,HE,HE,-14.18028,-169.65465,0.10044013393043,1,2014,C,1
AH68,400,plate2_51,4,HE,HE,-14.180282,-169.65465,0.0783570811066141,1,2014,C,2
AH75,400,plate2_52,4,HE,HE,-14.18294,-169.66,0.914627038521713,0,2014,D,1
AH151,300,plate2_53,4,HE,NA,-14.18326,-169.66025,0.151987826488651,1,2014,C,2
